entry_id,Publisher Name,Keyword,Match Type,Campaign,Keyword Group,Category,Bid Strategy,Status,Search Engine Bid,Clicks,Click Charges,Avg. Cost per Click,Impressions,Engine Click Thru %,Avg. Pos.,Trans. Conv. %,Total Cost/ Trans.,Amount,Total Cost,Total Volume of Bookings
mkt_021,Google - US,italy plane tickets,Broad,Geo Targeted Detroit,Detroit to Italy Sale,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25,1,$5.43,$5.43,2,50.00%,1.50,0.00%,$0.00,$0.00,$5.43,0
mkt_022,Yahoo - US,cheap international flight,Advanced,Geo Targeted Cincinnati,Cheap International Cincinnati,uncategorized,,Paused,$6.25,2,$3.13,$1.56,129,1.55%,8.45,0.00%,$0.00,$0.00,$3.13,0
mkt_023,Overture - US,discount england flight,Advanced,Unassigned,Unassigned,discount,Position 5-10 Bid Strategy,Paused,$0.19,4,$2.94,$0.73,169,2.37%,3.08,0.00%,$0.00,$0.00,$2.94,0
mkt_024,Google - US,france airline tickets,Broad,Geo Targeted Los Angeles,Los Angeles to France Sale,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25,4,$11.24,$2.81,8,50.00%,1.25,0.00%,$0.00,$0.00,$11.24,0
mkt_025,Google - US,flights to frankfurt,Broad,Google_Yearlong 2006,Google|Frankfurt,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25,26,$89.65,$3.45,565,4.60%,1.73,0.00%,$0.00,$0.00,$89.65,0
mkt_026,Google - US,rome flight,Broad,Geo Targeted San Francisco,San Francisco to Rome Sale,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25,5,$11.70,$2.34,55,9.09%,2.16,0.00%,$0.00,$0.00,$11.70,0
mkt_027,Google - US,cheap travel france,Broad,Paris & France Terms,France,uncategorized,Pos 3-6,Paused,$10.00,107,$566.50,$5.29,"1,357",7.89%,1.76,0.00%,$0.00,$0.00,$566.50,0
mkt_028,Google - US,paris ticket,Broad,Paris & France Terms,Paris,uncategorized,Position 5-10 Bid Strategy,Paused,$10.00,112,$241.57,$2.16,"2,308",4.85%,1.39,0.00%,$0.00,$0.00,$241.57,0
mkt_029,Google - Global,paris airport,Broad,Air France Brand & French Destinations,Paris,uncategorized,,Unavailable,$5.00,21,$47.80,$2.28,"3,180",0.66%,1.19,0.00%,$0.00,$0.00,$47.80,0
mkt_030,Google - Global,oslo airfare,Broad,Air France Global Campaign,Oslo,oslo,Position 1- 3,Unavailable,$11.25,1,$0.98,$0.98,43,2.33%,1.00,0.00%,$0.00,$0.00,$0.98,0
mkt_031,MSN - Global,aeroport lyon,Broad,Air France Brand & French Destinations,Lyon,uncategorized,Position 2-5 Bid Strategy,Deactivated,$0.00,3,$0.26,$0.09,173,1.73%,1.23,0.00%,$0.00,$0.00,$0.26,0
mkt_032,Google - US,europe flight,Broad,Geo Targeted New York,Europe New York,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25,5,$12.93,$2.59,193,2.59%,2.00,0.00%,$0.00,$0.00,$12.93,0
mkt_033,Overture - US,johannesburg,Standard,Unassigned,Unassigned,regional,Position 5-10 Bid Strategy,Paused,$11.25,177,$114.75,$0.65,"6,395",2.77%,0.93,0.00%,$0.00,$0.00,$114.75,0
mkt_034,Google - Global,paris travel information,Broad,Air France Brand & French Destinations,Paris,uncategorized,,Unavailable,$5.00,5,$13.26,$2.65,164,3.05%,1.19,0.00%,$0.00,$0.00,$13.26,0
mkt_035,Google - US,air france to paris,Broad,Paris & France Terms,Paris Branded,uncategorized,Position 2-5 Bid Strategy,Live,$10.00,247,$371.07,$1.50,"1,223",20.20%,1.07,1.62%,$92.77,"$2,334.10",$371.07,4
mkt_036,Google - US,paris cheap ticket,Broad,Geo Targeted Miami,Miami to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25,1,$3.26,$3.26,1,100.00%,1.00,0.00%,$0.00,$0.00,$3.26,0
mkt_037,MSN - US,flight to paris,Broad,Air France Brand & French Destinations,Paris,uncategorized,,Live,$0.00,82,$175.30,$2.14,"2,753",2.98%,1.50,0.00%,$0.00,$0.00,$175.30,0
mkt_038,Google - US,rome airport,Broad,Western Europe Destinations,Rome,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25,5,$2.90,$0.58,"4,171",0.12%,6.03,0.00%,$0.00,$0.00,$2.90,0
mkt_039,Google - Global,new york to paris flight,Broad,Air France Brand & French Destinations,Paris,uncategorized,,Unavailable,$5.00,15,$39.44,$2.63,109,13.76%,1.05,0.00%,$0.00,$0.00,$39.44,0
mkt_040,Overture - US,international flight travel,Standard,Unassigned,Unassigned,internationalflight,Position 5-10 Bid Strategy,Paused,$8.75,5,$2.88,$0.58,"1,173",0.43%,1.15,0.00%,$0.00,$0.00,$2.88,0
mkt_041,Google - Global,bordeaux tickets,Broad,Air France Global Campaign,Bordeaux,bordeaux,Position 1- 3,Unavailable,$1.25,1,$1.69,$1.69,"1,221",0.08%,1.65,0.00%,$0.00,$0.00,$1.69,0
mkt_042,Google - US,hanover flights,Broad,Google_Yearlong 2006,Google|Hanover,hanover,Position 5-10 Bid Strategy,Paused,$6.25,1,$4.11,$4.11,163,0.61%,1.06,0.00%,$0.00,$0.00,$4.11,0
mkt_043,Google - US,cont:google_yearlong 2006::google|delhi,N/A,Google_Yearlong 2006,Google|Delhi,uncategorized,,Unavailable,$7.50,48,$90.01,$1.88,"24,600",0.20%,1.28,0.00%,$0.00,$0.00,$90.01,0
mkt_044,Google - US,paris cheap flight,Broad,Geo Targeted Chicago,Chicago to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25,8,$15.44,$1.93,59,13.56%,2.85,0.00%,$0.00,$0.00,$15.44,0
mkt_045,Overture - Global,agen flight,Standard,Unassigned,Unassigned,agen,Position 1-2 Target,Paused,$0.14,2,$0.26,$0.13,208,0.96%,1.71,0.00%,$0.00,$0.00,$0.26,0
mkt_046,Google - Global,tou de france,Broad,Air France Global Campaign,Tour de France,uncategorized,,Unavailable,$6.25,1,$2.55,$2.55,21,4.76%,1.00,0.00%,$0.00,$0.00,$2.55,0
mkt_047,Google - US,airfrance website,Broad,Air France Branded,Air France Website,uncategorized,Position 2-5 Bid Strategy,Live,$0.71,10,$9.94,$0.99,80,12.50%,1.06,10.00%,$9.94,"$1,815.60",$9.94,1
mkt_049,Google - US,fly to spain,Broad,Western Europe Destinations,Spain,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25,11,$25.39,$2.31,197,5.58%,1.46,0.00%,$0.00,$0.00,$25.39,0
mkt_050,Overture - Global,paris flight deal,Advanced,Unassigned,Unassigned,paris,Position 1-2 Target,Sent,$0.80,22,$19.22,$0.87,271,8.12%,2.79,0.00%,$0.00,$0.00,$19.22,0
mkt_051,Google - US,france air tickets,Broad,Geo Targeted DC,DC to France Sale,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25,3,$4.76,$1.59,10,30.00%,1.10,0.00%,$0.00,$0.00,$4.76,0
mkt_052,Google - US,paris plane ticket,Broad,Geo Targeted San Francisco,San Francisco to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25,1,$1.84,$1.84,7,14.29%,1.29,0.00%,$0.00,$0.00,$1.84,0
mkt_053,Google - US,discount airline france,Broad,Paris & France Terms,France,uncategorized,Pos 3-6,Paused,$10.00,1,$4.74,$4.74,52,1.92%,1.53,0.00%,$0.00,$0.00,$4.74,0
mkt_054,Overture - US,airline sales,Advanced,Unassigned,Unassigned,airline,Position 5-10 Bid Strategy,Paused,$1.33,14,$9.51,$0.68,"1,153",1.21%,5.82,0.00%,$0.00,$0.00,$9.51,0
mkt_055,Google - US,international airline,Broad,Geo Targeted Detroit,International Detroit,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25,1,$2.04,$2.04,51,1.96%,1.80,0.00%,$0.00,$0.00,$2.04,0
mkt_056,Yahoo - US,international flights,Advanced,Geo Targeted Atlanta,International Atlanta,uncategorized,,Paused,$6.25,36,$52.86,$1.47,420,8.57%,1.25,0.00%,$0.00,$0.00,$52.86,0
mkt_057,Yahoo - US,europe plane ticket,Advanced,Geo Targeted Chicago,Europe Chicago,uncategorized,,Live,$6.25,1,$5.48,$5.48,1,100.00%,1.00,0.00%,$0.00,$0.00,$5.48,0
mkt_058,Google - US,greece flights,Broad,Google_Yearlong 2006,Google|Greece,greece,Position 5-10 Bid Strategy,Paused,$6.25,545,"$2,065.30",$3.79,"17,927",3.04%,2.38,0.00%,$0.00,$0.00,"$2,065.30",0
mkt_059,Google - US,tunis flights,Broad,Google_Yearlong 2006,Google|tunis,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25,75,$257.97,$3.44,"1,820",4.12%,1.46,0.00%,$0.00,$0.00,$257.97,0
mkt_060,Google - US,spain cheap flights,Broad,Geo Targeted New York,New York to Spain Sale,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25,6,$12.55,$2.09,17,35.29%,2.82,0.00%,$0.00,$0.00,$12.55,0
mkt_061,Yahoo - US,france plane ticket,Standard,Paris & France Terms,France,uncategorized,,Live,$6.25,13,$13.62,$1.05,209,6.22%,1.11,0.00%,$0.00,$0.00,$13.62,0
mkt_062,Google - US,italy cheap ticket,Broad,Western Europe Destinations,Italy,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25,6,$9.80,$1.63,45,13.33%,5.04,0.00%,$0.00,$0.00,$9.80,0
mkt_063,Google - Global,strasbourg airfare,Broad,Air France Global Campaign,Strasbourg,strasbourg,Position 1- 3,Unavailable,$11.25,1,$5.00,$5.00,59,1.69%,1.00,0.00%,$0.00,$0.00,$5.00,0
mkt_064,Yahoo - US,international airports,Advanced,Geo Targeted Atlanta,International Atlanta,uncategorized,,Paused,$6.25,4,$1.84,$0.46,246,1.63%,1.73,0.00%,$0.00,$0.00,$1.84,0
mkt_065,Google - US,france fares,Broad,Geo Targeted Chicago,Chicago to France Sale,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25,1,$2.11,$2.11,8,12.50%,1.75,0.00%,$0.00,$0.00,$2.11,0
mkt_066,Google - US,international cheap tickets,Broad,Google_Yearlong 2006,Google|International General,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25,35,$76.13,$2.18,576,6.08%,2.08,0.00%,$0.00,$0.00,$76.13,0
mkt_067,Overture - Global,cheap flight to france,Advanced,Unassigned,Unassigned,flight,Position 1-2 Target,Paused,$0.89,149,$127.90,$0.86,"18,777",0.79%,1.47,0.67%,$127.90,"$2,754.00",$127.90,1
mkt_068,Google - US,madrid cheap flights,Broad,Google_Yearlong 2006,Google|Madrid,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25,37,$86.54,$2.34,"1,377",2.69%,1.97,0.00%,$0.00,$0.00,$86.54,0
mkt_069,Overture - Global,ny to paris,Advanced,Unassigned,Unassigned,paris,,Sent,$8.75,15,$11.95,$0.80,"1,296",1.16%,4.00,0.00%,$0.00,$0.00,$11.95,0
mkt_070,Overture - Global,houston paris flight,Standard,Unassigned,Unassigned,ebsaleend7.28,,Paused,$8.75,1,$0.14,$0.14,8,12.50%,2.38,0.00%,$0.00,$0.00,$0.14,0
mkt_071,Google - US,cairo flights,Broad,Google_Yearlong 2006,Google|cairo,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25,265,$812.21,$3.06,"5,539",4.78%,1.44,0.00%,$0.00,$0.00,$812.21,0
mkt_072,Overture - US,airline flight prices,Standard,Unassigned,Unassigned,airlinegeneral,Position 5-10 Bid Strategy,Paused,$0.40,6,$3.15,$0.53,789,0.76%,3.05,0.00%,$0.00,$0.00,$3.15,0
mkt_073,Google - US,frankfurt airfare,Broad,Google_Yearlong 2006,Google|Frankfurt,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25,4,$10.63,$2.66,285,1.40%,1.55,0.00%,$0.00,$0.00,$10.63,0
mkt_074,Overture - US,airline booking,Standard,Unassigned,Unassigned,airlinegeneral,Position 5-10 Bid Strategy,Paused,$0.53,15,$10.43,$0.70,"3,199",0.47%,3.87,0.00%,$0.00,$0.00,$10.43,0
mkt_075,Google - US,europe airline,Broad,Western Europe Destinations,Europe,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25,45,$80.74,$1.79,"2,337",1.93%,1.28,0.00%,$0.00,$0.00,$80.74,0
mkt_076,Google - US,fly to britain,Broad,Google_Yearlong 2006,Google|Britain,britain,Position 5-10 Bid Strategy,Paused,$6.25,1,$1.69,$1.69,1,100.00%,1.00,0.00%,$0.00,$0.00,$1.69,0
mkt_077,Google - US,cheap europe flights,Broad,Geo Targeted Boston,Cheap Europe Boston,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25,4,$9.39,$2.35,13,30.77%,1.24,0.00%,$0.00,$0.00,$9.39,0
mkt_078,Overture - US,agadir,Standard,Unassigned,Unassigned,regional,Position 5-10 Bid Strategy,Paused,$11.25,12,$5.03,$0.42,268,4.48%,1.95,0.00%,$0.00,$0.00,$5.03,0
mkt_079,Yahoo - US,greece travel,Advanced,Western Europe Destinations,Greece,uncategorized,,Live,$6.25,24,$105.02,$4.38,"2,021",1.19%,3.25,0.00%,$0.00,$0.00,$105.02,0
mkt_080,Google - US,rome air fares,Broad,Geo Targeted DC,DC to Rome Sale,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25,1,$1.53,$1.53,3,33.33%,1.00,0.00%,$0.00,$0.00,$1.53,0
mkt_081,Google - Global,paris ticket,Broad,Air France Global Campaign,Paris,paris,Position 1- 3,Unavailable,$5.00,161,$361.85,$2.25,"6,987",2.30%,1.94,0.00%,$0.00,$0.00,$361.85,0
mkt_082,Overture - US,paris vacation deal,Standard,Unassigned,Unassigned,paris,Position 2-5 Bid Strategy,Paused,$0.64,7,$7.53,$1.08,249,2.81%,3.01,0.00%,$0.00,$0.00,$7.53,0
mkt_083,Google - US,paris airline ticket,Broad,Geo Targeted Houston,Houston to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25,2,$4.75,$2.38,16,12.50%,1.19,0.00%,$0.00,$0.00,$4.75,0
mkt_084,Google - US,nice cheap ticket,Broad,French Destinations,Nice,uncategorized,Position 2-5 Bid Strategy,Live,$10.00,10,$15.18,$1.52,46,21.74%,1.11,0.00%,$0.00,$0.00,$15.18,0
mkt_085,Overture - Global,cheap trip to france,Advanced,Unassigned,Unassigned,france,Position 1-2 Target,Sent,$0.38,10,$3.96,$0.40,399,2.51%,2.84,0.00%,$0.00,$0.00,$3.96,0
mkt_086,Google - US,paris air flights,Broad,Geo Targeted New York,New York to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Live,$6.25,1,$2.71,$2.71,13,7.69%,1.00,0.00%,$0.00,$0.00,$2.71,0
mkt_088,Google - US,air france to london,Broad,Western Europe Destinations,London Branded,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25,1,$1.68,$1.68,2,50.00%,3.00,0.00%,$0.00,$0.00,$1.68,0
mkt_089,Overture - Global,air france discount,Standard,Unassigned,Unassigned,airfrance,Position 1-2 Target,Paused,$0.83,79,$37.91,$0.48,"1,804",4.38%,1.97,0.00%,$0.00,$0.00,$37.91,0
mkt_090,Yahoo - US,cheap international ticket,Advanced,Geo Targeted San Francisco,Cheap International San Francisco,uncategorized,,Paused,$6.25,4,$13.25,$3.31,37,10.81%,1.27,0.00%,$0.00,$0.00,$13.25,0
mkt_091,Google - US,france airport,Broad,Geo Targeted DC,DC to France Sale,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25,1,$1.23,$1.23,8,12.50%,1.00,0.00%,$0.00,$0.00,$1.23,0
mkt_092,Yahoo - US,cheap international plane ticket,Advanced,Geo Targeted Chicago,Cheap International Chicago,uncategorized,,Paused,$6.25,2,$4.93,$2.46,6,33.33%,2.83,0.00%,$0.00,$0.00,$4.93,0
mkt_094,Overture - US,cheap air fare paris,Standard,Unassigned,Unassigned,paris,Position 2-5 Bid Strategy,Paused,$0.49,1,$0.51,$0.51,203,0.49%,1.77,0.00%,$0.00,$0.00,$0.51,0
mkt_095,Yahoo - US,europe flights,Advanced,Geo Targeted Atlanta,Europe Atlanta,uncategorized,,Paused,$6.25,2,$4.10,$2.05,30,6.67%,1.03,0.00%,$0.00,$0.00,$4.10,0
mkt_096,Google - US,fly to spain,Broad,Google_Yearlong 2006,Google|Spain,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25,86,$191.70,$2.23,916,9.39%,2.12,0.00%,$0.00,$0.00,$191.70,0
mkt_097,Google - US,italy airline,Broad,Google_Yearlong 2006,Google|Italy,uncategorized,Postiion 1-4 Bid Strategy,Paused,$6.25,102,$172.77,$1.69,"3,384",3.01%,1.66,0.00%,$0.00,$0.00,$172.77,0
mkt_098,Yahoo - US,cheap international airfare,Advanced,Geo Targeted Los Angeles,Cheap International Los Angeles,uncategorized,,Paused,$6.25,17,$49.44,$2.91,402,4.23%,3.58,0.00%,$0.00,$0.00,$49.44,0
mkt_099,Google - US,hamburg ticket,Broad,Google_Yearlong 2006,Google|Hamburg,hamburg,Position 5-10 Bid Strategy,Paused,$6.25,2,$5.13,$2.56,29,6.90%,1.32,0.00%,$0.00,$0.00,$5.13,0
mkt_100,Google - US,rome airline tickets,Broad,Geo Targeted San Francisco,San Francisco to Rome Sale,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25,1,$5.78,$5.78,2,50.00%,1.50,0.00%,$0.00,$0.00,$5.78,0
mkt_1000,Google - US,marrakech flights,Broad,Google_Yearlong 2006,Google|marrakech,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25,223,$648.91,$2.91,"2,932",7.61%,1.34,0.00%,$0.00,$0.00,$648.91,0
mkt_1001,Google - US,trip to france,Broad,Paris & France Terms,France,uncategorized,Pos 3-6,Paused,$10.00,44,$213.15,$4.84,"1,502",2.93%,1.55,0.00%,$0.00,$0.00,$213.15,0
mkt_1002,Google - US,madrid flight,Broad,Geo Targeted Boston,Boston to Madrid Sale,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25,3,$7.37,$2.46,20,15.00%,1.20,0.00%,$0.00,$0.00,$7.37,0
mkt_1003,Google - Global,tours de france,Broad,Air France Global Campaign,Tour de France,uncategorized,,Unavailable,$6.25,4,$16.21,$4.05,124,3.23%,1.32,0.00%,$0.00,$0.00,$16.21,0
mkt_1004,Overture - Global,air france vacation,Advanced,Unassigned,Unassigned,airfrance,Position 1-2 Target,Paused,$0.41,97,$72.05,$0.74,"5,132",1.89%,1.65,0.00%,$0.00,$0.00,$72.05,0
mkt_1005,Overture - Global,charles de gaulle airport in paris,Standard,Unassigned,Unassigned,franceairports,Position 1-2 Target,Paused,$0.13,1,$0.13,$0.13,212,0.47%,1.12,0.00%,$0.00,$0.00,$0.13,0
mkt_1006,Google - US,uk fare,Broad,Western Europe Destinations,UK,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25,1,$1.54,$1.54,12,8.33%,1.08,0.00%,$0.00,$0.00,$1.54,0
mkt_1007,Overture - Global,delhi fare,Standard,Unassigned,Unassigned,ebsaleend7.28,,Paused,$8.75,2,$0.28,$0.14,13,15.38%,1.00,0.00%,$0.00,$0.00,$0.28,0
mkt_1008,MSN - Global,french airlines,Broad,Air France Brand & French Destinations,Air France Brand,uncategorized,Position 1-4 Bid Strategy,Deactivated,$0.00,23,$8.96,$0.39,153,15.03%,1.05,0.00%,$0.00,$0.00,$8.96,0
mkt_1009,Google - US,uk cheap flights,Broad,Google_Yearlong 2006,Google|UK,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25,29,$149.06,$5.14,439,6.61%,1.55,0.00%,$0.00,$0.00,$149.06,0
mkt_101,Google - Global,french airline,Broad,Air France Global Campaign,Air France,airfrance,Position 1- 3,Unavailable,$3.75,233,$623.09,$2.67,"18,214",1.28%,1.98,0.00%,$0.00,$0.00,$623.09,0
mkt_1010,Google - US,flight to london,Broad,Google_Yearlong 2006,Google|London,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25,19,$36.16,$1.90,319,5.96%,2.81,0.00%,$0.00,$0.00,$36.16,0
mkt_1011,Yahoo - US,international airline,Advanced,Geo Targeted DC,International DC,uncategorized,,Paused,$6.25,2,$3.74,$1.87,"1,239",0.16%,1.10,0.00%,$0.00,$0.00,$3.74,0
mkt_1012,Google - Global,paris cheap ticket,Broad,Air France Global Campaign,Paris,paris,Position 1- 3,Unavailable,$3.75,43,$84.75,$1.97,"1,440",2.99%,2.62,0.00%,$0.00,$0.00,$84.75,0
mkt_1013,Google - Global,flights to strasbourg,Broad,Air France Global Campaign,Strasbourg,strasbourg,Position 1- 3,Unavailable,$11.25,5,$8.00,$1.60,984,0.51%,1.00,0.00%,$0.00,$0.00,$8.00,0
mkt_1014,Google - US,rabat flights,Broad,Google_Yearlong 2006,Google|rabat,uncategorized,Postiion 1-4 Bid Strategy,Paused,$6.25,11,$14.07,$1.28,361,3.05%,1.14,9.09%,$14.07,"$1,402.50",$14.07,1
mkt_1015,Overture - Global,le man flight,Standard,Unassigned,Unassigned,leman,Position 1-2 Target,Paused,$0.50,3,$1.54,$0.51,545,0.55%,3.38,0.00%,$0.00,$0.00,$1.54,0
mkt_1017,Google - US,business class flights,Broad,Business Class,Business Class - Generic,uncategorized,Position 2-5 Bid Strategy,Live,$13.75,23,$126.96,$5.52,821,2.80%,3.00,0.00%,$0.00,$0.00,$126.96,0
mkt_1018,Google - US,european flight,Broad,Western Europe Destinations,Europe,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25,10,$18.96,$1.90,281,3.56%,1.33,0.00%,$0.00,$0.00,$18.96,0
mkt_1019,Google - US,paris fare,Broad,Geo Targeted Seattle,Seattle to Paris Sale,uncategorized,Position 2-5 Bid Strategy,Paused,$5.00,6,$21.00,$3.50,98,6.12%,1.44,0.00%,$0.00,$0.00,$21.00,0
mkt_102,Overture - Global,avn ticket,Standard,Unassigned,Unassigned,avignon,Position 1-2 Target,Paused,$0.13,1,$0.13,$0.13,"4,417",0.02%,1.83,0.00%,$0.00,$0.00,$0.13,0
mkt_1020,Google - Global,zagreb tickets,Broad,Air France Global Campaign,Zagreb,zagreb,Position 1- 3,Unavailable,$11.25,1,$0.83,$0.83,3,33.33%,1.00,0.00%,$0.00,$0.00,$0.83,0
mkt_1021,Google - US,lyon airlines,Broad,French Destinations,Lyon,uncategorized,Position 2-5 Bid Strategy,Paused,$10.00,6,$10.02,$1.67,216,2.78%,1.59,0.00%,$0.00,$0.00,$10.02,0
mkt_1022,Google - US,italy tickets,Broad,Google_Yearlong 2006,Google|Italy,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25,46,$133.19,$2.90,"3,367",1.37%,1.72,0.00%,$0.00,$0.00,$133.19,0
mkt_1023,Yahoo - US,france cheap flight,Advanced,Geo Targeted Chicago,Chicago to France Sale,uncategorized,,Live,$6.25,1,$2.51,$2.51,9,11.11%,3.44,0.00%,$0.00,$0.00,$2.51,0
mkt_1024,Google - US,switzerland tickets,Broad,Google_Yearlong 2006,Google|Switzerland,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25,2,$4.39,$2.19,44,4.55%,1.44,0.00%,$0.00,$0.00,$4.39,0
